序号,品牌,名称,类型,出厂年份,颜色,价格,电池得分,外观得分,硬盘容量得分,价格得分,处理器得分,屏幕分辨率得分,尺寸得分,重量
80,ASUS,华硕 灵耀Deluxe13,轻薄本,2019,blue,6399,0.50168,0.62201,0.79429,0.43311,0.55241,0.5,0.45689,2.44
81,ASUS,华硕 灵耀Deluxe13,轻薄本,2019,blue,7399,0.50168,0.62201,0.79429,0.47664,0.6708,0.5,0.45689,2.45
82,ASUS,华硕 灵耀Deluxe14,轻薄本,2019,blue sliver,6399,0.50168,0.62201,0.79429,0.43311,0.55241,0.5,0.4892,2.45
83,ASUS,华硕 灵耀Deluxe14,轻薄本,2019,blue sliver,7399,0.50168,0.62201,0.79429,0.47664,0.6708,0.5,0.4892,2.45
84,ASUS,华硕 VivoBook15,轻薄本,2019,grey sliver,4999,0.42769,0.56749,0.79429,0.37773,0.55241,0.5,0.67524,2.54
85,ASUS,华硕 六代FL8700F,轻薄本,2019,grey sliver,5499,0.42769,0.56749,0.79429,0.39725,0.6708,0.5,0.67524,2.7
86,ASUS,华硕 adol,轻薄本,2018,grey,4499,0.49837,0.5,0.65422,0.35683,0.49461,0.5,0.4892,2.2
87,ASUS,华硕 灵耀S2,轻薄本,2018,grey gold,4899,0.47998,0.65758,0.79429,0.37371,0.55241,0.5,0.4892,2
88,ASUS,华硕 灵耀S2,轻薄本,2018,grey gold,5299,0.47998,0.65758,0.79429,0.38952,0.6708,0.5,0.4892,2
89,ASUS,华硕 破晓7,轻薄本,2018,grey,4599,0.42769,0.62201,0.65422,0.36122,0.55241,0.5,0.67524,2.3
90,ASUS,华硕 破晓7,轻薄本,2018,grey,5799,0.42769,0.62201,0.79429,0.40891,0.6708,0.5,0.67524,2.3
91,HP,惠普 战66,轻薄本,2018,sliver,5199,0.50168,0.56749,0.79429,0.38563,0.55241,0.5,0.4892,2.32
92,HP,惠普 战66,轻薄本,2018,sliver,5699,0.50168,0.56749,0.79429,0.405,0.55241,0.5,0.4892,2.32
93,HP,惠普 战66,轻薄本,2018,sliver,6699,0.50168,0.56749,0.79429,0.44607,0.6708,0.5,0.4892,2.25
94,HP,惠普 战66,轻薄本,2018,sliver,5499,0.50168,0.56749,0.79429,0.39725,0.55241,0.5,0.67524,2.76
95,HP,惠普 战66,轻薄本,2018,sliver,7799,0.50168,0.56749,0.79429,0.49226,0.60001,0.5,0.67524,2.66
96,HP,惠普 战66,轻薄本,2018,sliver,7999,0.50168,0.56749,0.8445,0.49996,0.60001,0.5,0.67524,2.66
97,HP,惠普 战X,轻薄本,2019,sliver,6999,0.50168,0.62201,0.8445,0.45962,0.55241,0.5,0.45966,2.17
98,HP,惠普 战X,轻薄本,2019,sliver,7999,0.50168,0.62201,0.8445,0.49996,0.58124,0.5,0.45966,2.23
